Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Raiymbek Batyr,спорт комплекс,Фитнес-клубы; Спортивные секции,"улица Суюнбая, 1/11",,040923,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00,+05:00,4.4,8,87007171007,87016126677,,,,,,,,,https://wa.me/77007171007,https://wa.me/77016126677,,,,,,43.204174,76.74547,https://2gis.com/firm/70000001059276661,branch
Gryphon fitness,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивное питание,"улица Макатаева, 1",,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:30; Вт: 10:00-22:30; Ср: 07:00-22:30; Чт: 10:00-22:30; Пт: 07:00-23:00; Сб: 10:00-20:00,+05:00,4.0,33,87471591128,,,,,,https://instagram.com/gryphon_kz,,,,https://wa.me/77471591128,,,,,,,43.265885,76.967104,https://2gis.com/firm/70000001022481782,branch
Lifetime,фитнес-центр персонального тренинга,Фитнес-клубы; Тренажёрные залы,"улица Розыбакиева, 273",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-18:00,+05:00,3.8,13,87273022665,87017590552,87017127852,,http://www.lifetimeclub.kz,,https://instagram.com/lifetimeclub,,,,https://wa.me/77017590552,https://wa.me/77017127852,,,,,,43.198955,76.893719,https://2gis.com/firm/9429940001061674,branch
Карлыгаш,фитнес-клуб,Фитнес-клубы; Обучение танцам; Спортивные секции; Тренажёрные залы,"микрорайон Кулагер, 12",цокольный этаж,050066,Кулагер м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 14:00-23:00; Вт: 14:00-23:00; Ср: 14:00-23:00; Чт: 14:00-23:00; Пт: 14:00-23:00; Сб: 14:00-23:00,+05:00,3.2,5,87272349559,87772624565,,,,,,,,,https://wa.me/77772624565,,,,,,,43.303655,76.921978,https://2gis.com/firm/9429940000961702,branch
Bodyflex,студия фитнеса,Фитнес-клубы; Центры йоги,"улица Абиша Кекилбайулы, 191",2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00 (по предварительной записи),+05:00,5.0,15,87772646986,,,,,,https://instagram.com/bodyflex.almaty,,,,https://wa.me/77772646986,,,,https://t.me/+77772646986,,,43.198122,76.890752,https://2gis.com/firm/70000001079266212,branch
Flower Dance,танцевальная студия,Фитнес-клубы; Обучение танцам; Батутные центры; Сценические / карнавальные костюмы,"Жетысу-3 микрорайон, 65",цокольный этаж,050063,Жетысу-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00 (по предварительной записи),+05:00,4.7,30,87471818315,87474106540,,,,,https://instagram.com/studio_flower_dance,,https://facebook.com/flower.dance.3304,,https://wa.me/77471818315,https://wa.me/77474106540,,,https://t.me/+77471818315,,,43.221131,76.842739,https://2gis.com/firm/70000001038873872,branch
Altyn Zhol-2021,детский образовательный центр,Фитнес-клубы; Детские / подростковые клубы; Логопед; Языковые школы; Музыкальные курсы,"улица Суворова, 114",2 этаж,050028,Нижняя пятилетка м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,2,87752222283,87022880842 (Анна),,,,,,,,,https://wa.me/77752222283,https://wa.me/77022880842,,,,,,43.347129,76.9576,https://2gis.com/firm/70000001068063332,branch
​Фитнес-клуб,,Фитнес-клубы,"улица Шолохова, 8",3 кабинет; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 06:30-21:00; Вт: 06:30-21:00; Ср: 06:30-21:00; Чт: 06:30-21:00; Пт: 06:30-21:00; Сб: 06:30-21:00 (по предварительной записи),+05:00,5.0,1,87055774171,,,,,,https://instagram.com/hb_indira82,,,,https://wa.me/77055774171,,,,,,,43.334104,76.95222,https://2gis.com/firm/70000001087739502,branch
Viva,студия фитнеса и растяжки,Фитнес-клубы,"8-й микрорайон, 19а",2 этаж,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00 (по предварительной записи),+05:00,5.0,6,87052222921,,,,,,https://instagram.com/viva_studio_fitnessa,,,,https://wa.me/77052222921,,,,,,,43.228387,76.869061,https://2gis.com/firm/70000001069034261,branch
New you,фитнес-студия,Фитнес-клубы,"улица Дуйсенова, 161/1",2 этаж,050005,Тастак-2 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,8,87027905400,,,,,,,,,,https://wa.me/77027905400,,,,,,,43.252117,76.867955,https://2gis.com/firm/70000001056064396,branch
Hardway_gym,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"улица Болтекулы, 1",3 этаж,050067,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.9,50,87771653545,87771167433,,,,,https://instagram.com/hardway_gym,,,,https://wa.me/77771653545,https://wa.me/77771167433,,,,,,43.245938,76.815706,https://2gis.com/firm/70000001034729686,branch
Fit club,клуб здорового образа жизни,Фитнес-клубы,"улица Шолохова, 8",3 кабинет; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00,+05:00,,,87759690423,,,,,,https://instagram.com/hlf_elmira_myrzabekovna,,,,https://wa.me/77759690423,,,,,,,43.334104,76.95222,https://2gis.com/firm/70000001069138252,branch
Diva-Grazia,студия танца,Фитнес-клубы; Обучение танцам; Центры йоги,"улица Майлина, 54",,050039,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00,+05:00,5.0,25,87075054890,,,,,,https://instagram.com/grazia_dance_,,,,https://wa.me/77075054890,,,,,,,43.34253,76.993765,https://2gis.com/firm/70000001065666401,branch
Грация,студия стретчинга и йоги,Фитнес-клубы,"проспект Назарбаева, 223 блок 2а",3 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,,,87071113012,,,,,,https://instagram.com/zhan_coach01,,,,https://wa.me/77071113012,,,,,,,43.232765,76.948101,https://2gis.com/firm/70000001081848441,branch
Hesed Fitness,спортивно-оздоровительный клуб,Фитнес-клубы; Спортивные секции,"микрорайон Аксай 1А, 18",цокольный этаж,050031,Аксай-1а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Вс: 07:00-22:00 (по предварительной записи),+05:00,4.7,7,87272655168,87472122314,,,,,https://instagram.com/hesedfitness_almaty,,,,https://wa.me/77472798315,,,,,,,43.24164,76.825897,https://2gis.com/firm/70000001044953916,branch
Herbalife,клуб здорового образа жизни,Фитнес-клубы; БАДы; Диетические / соевые продукты,"микрорайон Аксай 1, 18а",206 офис; 2 этаж,050031,Аксай-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00; Вс: 07:00-19:00 (по предварительной записи),+05:00,,,87077323675,,,,,,https://instagram.com/herba_volna,,,,,,,,,,,43.240242,76.832471,https://2gis.com/firm/70000001033996628,branch
Gym arena,,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Суюнбая, 261а",3 этаж,050054,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 09:00-22:00,+05:00,3.8,126,87781110305,,,,,,https://instagram.com/gymarena_almaty,,,,https://wa.me/77781110305,,,,,,,43.325607,76.96091,https://2gis.com/firm/70000001040163036,branch
Hardway_gym,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"проспект Сейфуллина, 51/6",цокольный этаж,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.4,60,87771998890 (единая справочная: пн-вс 7:00-23:00),,,,,,https://instagram.com/hardway_gym,,,,https://wa.me/77771998890,,,,,,,43.328666,76.940702,https://2gis.com/firm/70000001068197217,branch
Underground Jumping Fitness,студия,Фитнес-клубы; Спортивные секции,"улица Асыл Арман, 12",цокольный этаж,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00,+05:00,5.0,31,87718575707,,,,,,https://instagram.com/underground_jumping_asylarman,,,,https://wa.me/77718575707,,,,,,,43.231183,76.751796,https://2gis.com/firm/70000001046225588,branch
Tiger Gym,спортивный клуб,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивные секции,"улица Шолохова, 30",1 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-22:00,+05:00,4.7,56,87016366636,87083736366,,,,,https://instagram.com/tiger_gym_fitnes,,,,https://wa.me/77016366636,https://wa.me/77083736366,,,,,,43.33744,76.941017,https://2gis.com/firm/70000001020292449,branch
AF Sport,женский фитнес-клуб,Фитнес-клубы; Обучение танцам; Велнес-залы,"улица Навои, 300",цокольный этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-12:00,+05:00,4.8,37,87273024339,87273854582,,,,,https://instagram.com/affitnessclub,,,,https://wa.me/77714955500,https://wa.me/77715725540,,,,,,43.203188,76.886403,https://2gis.com/firm/9429940000853098,branch
Hawaii Fitness,фитнес-центр,Фитнес-клубы; Тренажёрные залы,"Ташкентский тракт, 17к",2 этаж,040916,,,Алматы,Карасайский район,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 09:00-22:00,+05:00,3.5,50,87089736699,,,,,,https://instagram.com/hawaii_fitness_kz,,,,,,,,,,,43.233796,76.775938,https://2gis.com/firm/70000001022335816,branch
Bako jump kz,фитнес-центр на батутах,Фитнес-клубы,"микрорайон Аксай 1, 10/3",1 этаж,050031,Аксай-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-10:00, 18:00-21:00; Вт: 08:00-10:00, 18:00-21:00; Ср: 08:00-10:00, 18:00-21:00; Чт: 08:00-10:00, 18:00-21:00; Пт: 08:00-10:00, 18:00-21:00; Сб: 11:00-12:00 (по предварительной записи)",+05:00,4.0,9,87025404343,,,,,,https://instagram.com/bakojump.kz,,,,https://wa.me/77025404343,,,,,,,43.243916,76.836355,https://2gis.com/firm/70000001062417624,branch
Kangoo Jumps,фитнес-клуб,Фитнес-клубы,"5-й микрорайон, 3а",Medeus pharm,050062,5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:30-09:30; Ср: 08:30-09:30; Пт: 08:30-09:30,+05:00,5.0,13,87758026221,,,,,,https://instagram.com/kangoo_jumps_almaty,,,,https://wa.me/77758026221,,,,,,,43.230344,76.860373,https://2gis.com/firm/70000001089347794,branch
kangoo jumps ,фитнес-клуб,Фитнес-клубы,"проспект Гагарина, 236Б",2 этаж; вывеска Power Gym,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:45-21:15; Вт: 08:30-21:00; Ср: 06:45-21:15; Чт: 08:30-21:15; Пт: 08:30-21:00; Сб: 07:00-14:00,+05:00,5.0,6,87071378893,87051378892,,,,,https://instagram.com/kangoojumps_almaty,,,,https://wa.me/77051378892,https://wa.me/77071378893,,,,,,43.213189,76.898269,https://2gis.com/firm/70000001089347731,branch
LevelUp,женский фитнес-клуб,Фитнес-клубы; Центры йоги; Обучение танцам; Аренда спортивных площадок,"улица Громова, 15",,050056,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00,+05:00,4.2,5,87778452608,,,,,,https://instagram.com/levelup_almaty,,,,https://wa.me/77778452608,,,,,,,43.315322,76.959852,https://2gis.com/firm/70000001041566809,branch
Dance exellent,танцевальная студия,Фитнес-клубы; Обучение танцам,"микрорайон Кулагер, 65",3 этаж,050066,Кулагер м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 18:30-21:30; Ср: 18:30-21:30; Пт: 18:30-21:30; Сб: 16:00-18:00,+05:00,5.0,4,87016474486,87017437173,,,,,https://instagram.com/dance_excellent,,,,https://wa.me/77016474486,https://wa.me/77017437173,,,,,,43.306356,76.92386,https://2gis.com/firm/70000001063311057,branch
Cardinal,студия танца,Фитнес-клубы; Обучение танцам,"улица Майлина, 109",1 этаж,050054,Маяк м-н,Турксибский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-12:00, 15:00-20:00; Вт: 08:00-12:00, 15:00-20:00; Ср: 08:00-12:00, 15:00-20:00; Чт: 08:00-12:00, 15:00-20:00; Пт: 08:00-12:00, 15:00-20:00; Сб: 09:00-15:00",+05:00,4.6,7,87772499595,87273802140,,,,,https://instagram.com/cardinaldance,,,,https://wa.me/77772499595,,,,,,,43.328136,76.975372,https://2gis.com/firm/9429940000898357,branch
yoga_studio_almaty,​студия фитнеса,Фитнес-клубы; Центры йоги; Спортивные секции,"улица Станкевича, 43",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.5,9,87017355111,,,,,,https://instagram.com/yoga_studio_almaty,,,,https://wa.me/77017355111,,,,,,,43.32489,76.950466,https://2gis.com/firm/70000001071831453,branch
Lady’s,женский фитнес-клуб,Фитнес-клубы; Батутные центры; Центры йоги; Обучение танцам,"Думан-2 микрорайон, 25",1 этаж,,Думан-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-14:00 (по предварительному звонку),+05:00,3.7,3,87029911923 (единый номер: пн-сб 9:00-18:00),,,,,,https://instagram.com/lady_fitnes_club,,,,https://wa.me/77029911923,,,,,,,43.286694,77.004235,https://2gis.com/firm/70000001038473622,branch
All star’s,"студия танцев, фитнеса и йоги",Фитнес-клубы; Обучение танцам; Центры йоги,"14-я улица, 1",1 этаж,050019,Кайрат м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи),+05:00,3.6,12,87782000750,,,,,,https://instagram.com/all.starsdance,,,https://vk.com/club207098534,https://wa.me/77782000750,,,,,,,43.310939,76.999992,https://2gis.com/firm/70000001055556597,branch
Triumpher,спортивно-оздоровительный комплекс,Фитнес-клубы; Тренажёрные залы; Спортивные секции; Бассейны; Аренда спортивных площадок,"улица Рыскулова, 47а",,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-21:00,+05:00,2.3,42,87787841515,87775288810,87273701515,,,,https://instagram.com/triumpher_talgar,,https://facebook.com/TriumpherTalgar,,https://wa.me/77775288810,https://wa.me/77787841515,,,,,https://youtube.com/channel/UCEP7k18fhUODITenaFTCOug,43.298008,77.237366,https://2gis.com/firm/70000001045310818,branch
Спорткомплекс,,Фитнес-клубы; Тренажёрные залы,"микрорайон Алтын ауыл, 24",2 этаж,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,2.7,11,,,,,,,,,,,,,,,,,,43.200683,76.662148,https://2gis.com/firm/70000001065444018,branch
My way,студия танца и фитнеса,Фитнес-клубы; Обучение танцам,"улица Эйхе, 28",2 этаж,050028,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00 (по предварительной записи),+05:00,4.8,24,87078771388,,,,,,https://instagram.com/myway_studio,,,,https://wa.me/77078771388,,,,,,,43.358712,76.934878,https://2gis.com/firm/70000001044882177,branch
Pyramid Fit,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"микрорайон Аксай-5, 24",,050063,Аксай-5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00,+05:00,1.0,1,87077247316,,,,,,,,,,https://wa.me/77077247316,,,,,,,43.224481,76.834266,https://2gis.com/firm/70000001087508937,branch
Korkem fit club,​клуб здорового образа жизни,Фитнес-клубы; БАДы,"микрорайон Зердели, 1/36",,050038,Зерделі м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+05:00,,,87717491554,87012287196,,,,,https://instagram.com/korkemfitclub,,,,https://wa.me/77717491554,https://wa.me/77012287196,,,,,,43.277829,76.819834,https://2gis.com/firm/70000001089748785,branch
Томирис,фитнес-клуб,Фитнес-клубы; Обучение танцам,"микрорайон Аксай-4, 59",цокольный этаж,050063,Аксай-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-18:00,+05:00,2.1,4,87272430927,87777240061,,,,,https://instagram.com/zhenskii_club_tomiris,,,,,,,,,,,43.22593,76.838962,https://2gis.com/firm/9429940000908330,branch
Vip & Fly Alatau,центр,Фитнес-клубы; Обучение танцам; Центры раннего развития детей; Центры йоги; Логопед,"улица Ибрагимова, 12а",,,Алатау м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 08:00-21:00; Ср: 09:00-22:00; Чт: 08:00-21:00; Пт: 09:00-22:00; Сб: 09:00-14:00; Вс: 09:00-13:00,+05:00,4.8,47,87778104010 (единый номер: пн-вс 9:00-22:00),87755815207,,,,,https://instagram.com/vip.fly.alatau,,,,https://wa.me/77778104010,,,,,,,43.35922,77.139957,https://2gis.com/firm/70000001044940811,branch
Ems Fit x Body,фитнес-клуб,Фитнес-клубы,"улица Жубанова, 3а",305 офис; 3 этаж,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00 (по предварительной записи),+05:00,,,87474412160,,,,,,https://instagram.com/fitxbodyalmat,,,,https://wa.me/77474412160,,,,https://t.me/+77474412160,,,43.23685,76.856961,https://2gis.com/firm/70000001065080845,branch
Heartfulness,центр йоги и медитаций ,Фитнес-клубы; Центры йоги; Медитация; Велнес-залы,"улица Сулейменова, 25",1 этаж; вход с торца,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-18:30; Вт: 08:00-13:00, 14:00-18:30; Ср: 08:00-13:00, 14:00-18:30; Чт: 08:00-13:00, 14:00-18:30; Пт: 08:00-13:00, 14:00-18:30; Сб: 11:00-17:00; Вс: 11:00-13:00",+05:00,5.0,6,87057769999,,,,http://heartfulness.org,,https://instagram.com/heartfulness.kz,,,,https://wa.me/77057769999,,,,,,,43.211535,76.877462,https://2gis.com/firm/70000001090245605,branch
Sparta GYM,фитнес клуб,Фитнес-клубы,"улица Ерлепесова, 40",,,,,,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,,,87081695460,,,,,,,,,,https://wa.me/77081695460,,,,,,,43.214906,76.681769,https://2gis.com/firm/70000001084142270,branch
Progym,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Обучение танцам,"улица Кунаева, 169/1",,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-23:00; Вс: 10:00-22:00,+05:00,4.7,17,87073559590,87753802512,,,,,https://instagram.com/progym_talgar,,,,https://wa.me/77073559590,https://wa.me/77753802512,,,,,,43.303432,77.220558,https://2gis.com/firm/70000001076395464,branch
Фитнес клуб,клуб здорового образа жизни ,Фитнес-клубы; Центры йоги; Обучение танцам,"улица Шолохова, 8",3 офис; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 06:30-22:00; Вт: 06:30-22:00; Ср: 06:30-22:00; Чт: 06:30-22:00; Пт: 06:30-22:00; Сб: 06:30-22:00; Вс: 06:30-22:00,+05:00,,,87759591921,,,,,,https://instagram.com/albinamayr.kz,,,,https://wa.me/77759591921,,,,,,,43.334104,76.95222,https://2gis.com/firm/70000001088191473,branch
​Клуб здорового образа жизни,,Фитнес-клубы; БАДы,"улица Хасен Оралтай, 145",,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00; Вс: 07:00-19:00,+05:00,5.0,1,87077090707,,,,,,,,,,https://wa.me/77077090707,,,,,,,43.32758,76.888355,https://2gis.com/firm/70000001078926600,branch
La Prima Dance,школа танцев,Фитнес-клубы; Обучение танцам,"улица Майлина, 13",1 этаж,050039,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 09:00-16:00,+05:00,5.0,21,87077144855,,,,,,https://instagram.com/la_prima_dance,,,,https://wa.me/77077144855,,,,,,,43.346838,77.005404,https://2gis.com/firm/70000001039801344,branch
Flystrech_kz,женская фитнес-студия,Фитнес-клубы,"улица Монтажная, 27",,050054,Маяк м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,6,87054153377,87771215960,,,,,https://instagram.com/flystretch_kz,,,,https://wa.me/77054153377,,,,,,,43.335003,76.981968,https://2gis.com/firm/70000001065157010,branch
​Клуб здорового образа жизни,,Фитнес-клубы; Центры йоги,"улица Шолохова, 8",3 кабинет; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 06:30-21:00; Вт: 06:30-21:00; Ср: 06:30-21:00; Чт: 06:30-21:00; Пт: 06:30-21:00; Сб: 06:30-21:00,+05:00,,,87756183036,,,,,,https://instagram.com/nazsezn,,,,https://wa.me/77756183036,,,,,,,43.334104,76.95222,https://2gis.com/firm/70000001083454613,branch
Анэля,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Алатау, 8а",2 этаж,040708,,,,Илийский район,Алматинская область,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00,+05:00,2.0,3,87072921218,87071596700,87077141960,,,,,,,,https://wa.me/77072921218,https://wa.me/77071596700,https://wa.me/77077141960,,,,,43.370211,76.86039,https://2gis.com/firm/70000001035243717,branch
Студия коррекции фигуры,,Фитнес-клубы; Массажист,"проспект Абылай хана, 39а",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00 (по предварительной записи),+05:00,5.0,2,87022632218,,,,,,https://instagram.com/korrektsiya.figury.kaskelen,,,,https://wa.me/77022632218,,,,,,,43.201593,76.647086,https://2gis.com/firm/70000001043707073,branch
Family Art,фитнес-студия,Фитнес-клубы,"проспект Сейфуллина, 26а",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+05:00,,,87472724717,,,familyart1979@mail.ru,,,,,,,https://wa.me/77472724717,,,,,,,43.328415,76.942795,https://2gis.com/firm/70000001081233492,branch
Befit,фитнес-клуб,Фитнес-клубы,"улица Барибаева, 8",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (по предварительной записи),+05:00,,,87714484130,,,,,,https://instagram.com/befirt.kaskelen,,,,https://wa.me/77714484130,,,,,,,43.207431,76.628783,https://2gis.com/firm/70000001078531417,branch
